intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,20,5,20,5,0,6.333333,6.2,5.714286,6.714286,8.4,6,3.285714,5.5,9.625,14,4.25,7.8,6.2,6.142857,8.142858,7,10.66667,4.75,8.428572,8.25,6.666667,9,8.2,6,7.75,6.4,6.333333,12,0.5,6.666667,5.875,8,9.363636,7.857143,11,7.6,8.666667,8.714286,7.75,3.5,6,5.666667,7.777778,7,12,4.4,4.666667,7.7,14.5,7.714286,5.4,6.833333,5.7,9,8.75,6.25,6,5.818182,9.2,11.42857,8.8,7.666667,6.428571,6.5,8.25,8.111111,9,8.857142,8.833333,7,6.714286,7.142857,8.2,8.666667,4.555555,6.666667,7.833333,6.333333,5,6,7.375,8.5,6.666667,7.833333,5,4.7,6.777778,5.777778,7.555555,8.6,3.375,7.4,6.857143,11,4.666667
roundabout-quick-right,40,10,40,10,0,5.636364,7.3125,6.277778,9.428572,8.533334,8.631579,11.05882,8.666667,8,7.266667,6.8,10,8.705882,8.409091,8.809524,12.9,14.2381,12.17391,16.04545,16.625,12.42857,12.84,13.91304,10.65385,13.05556,9.95,11.61111,11.81818,9.884615,11.21739,12.29412,8.285714,8.333333,6.8125,7.615385,10.58621,10.7037,13,10.71429,10.38095,13.25,12.33333,13.20833,13.64,12.65517,12.13793,14.36667,14.12121,17.78125,18,17.95652,14.41667,11.22222,12.08696,16.68182,14.35294,7.45,10.21739,10.66667,10.14286,12.25806,14.46875,15.9,12.52941,11.3125,7.066667,7.071429,8.9,6.3125,9.866667,9.8125,9.357142,8.357142,8.352942,11.41177,9.25,8.333333,7.5,6.705883,7.833333,10.21053,11.3125,8.857142,8,11.47059,8.866667,6.933333,5.545455,8.166667,7.2,8.111111,8.866667,9.857142,9.411765,8.95
roundabout-quick-right,60,15,60,15,0,5.333333,9.038462,8.633333,10.31429,11.54839,13.0303,15.10256,15.875,19.2037,20.73771,21.20833,24.88889,27.43902,29.86585,31.87654,33.54762,33.03226,38.47368,40.21111,40.5,43.52564,43.28947,40.90789,42.65278,40.12,37.0375,41.35802,43.27848,42.08333,42.22472,42.98958,41.52041,43.47475,42.88462,47.68628,48.83178,51.09259,55.13636,59.44444,61.86555,61.10084,62.26446,60.61111,62.28125,63.12121,63.64493,64.51408,68.52483,69.75839,71.5,74.62337,77.15334,80.12,84.12337,88.16875,90.99351,95.54667,95.88667,100.7315,98.24683,95.17792,93.86549,93.03448,96.77273,98,95.53476,95.40426,97.90527,100.513,103,105.6471,109.5735,114.4028,120.169,128.2105,130.2275,132.894,136.8676,139.148,135.9474,132.4913,134.807,139.0978,141.9292,144.9913,149.1528,149.2759,149.4807,149.5,148.0206,148.4221,153.6408,148.7953,153.1899,152.5602
roundabout,20,5,20,5,0,4.5,5.833333,5.75,6.333333,8.5,3.8,6.142857,8.4,5.857143,10.8,5.25,7.555555,5.5,7.75,9,9.4,5.833333,8.166667,4,6.7,9.7,7.2,7.25,9,7.75,6.2,6.666667,5.777778,7,4.7,10.71429,6.1,9.2,9,5.666667,5.1,10.66667,7,10.55556,6.5,9.416667,10.28571,10,4.25,8.75,6.125,8.571428,5.8,5,10.83333,3.875,8.777778,6.428571,7,11.6,4.4,5.5,6.888889,8.5,8.666667,5.166667,7.888889,9.666667,4.333333,8.333333,7.5,4.8,5.6,5.875,9.125,7.333333,7.7,8.4,8,3.25,6,7.2,6.2,6.9,6.692307,9.285714,6,4.125,6.375,7.8,5.5,8.461538,10.33333,7.5,8,9.125,8,5.4,7.222222,7.4
roundabout,40,10,40,10,0,5,6.714286,10.38461,4.230769,6.333333,7.625,7.55,9.523809,10.75,9.842105,13.375,10.72727,15.375,15.25,13.52941,11,10.26316,9.368421,10.46154,8.75,11.8,7.5,9.153846,8.133333,8.928572,10.23077,6.68421,9.058824,6.45,9.684211,8.526316,8.363636,10.66667,9.545455,7.9375,9.157895,9.08,12,13.375,12.12,9.416667,12.07407,11.18182,13.39394,15.21212,17.13514,21.64706,25.78125,22.34375,16.21212,16.66667,18.11765,20.07692,17.69444,17.36111,20.08333,19.45946,19.05714,18.18182,16.14706,19.97368,21.675,21.42857,22.17778,25,22.10256,22.64286,21.67391,20.78572,24.48837,29.13514,25.675,30.1,29.4878,29.78947,29.47368,24.55882,22.09091,19.175,20.59459,21.07895,23.97368,25.55556,21.21622,24,19.03448,18.76667,18.71428,18.05556,20.36111,18.325,19.76316,21.51282,21.63636,20.77273
roundabout,60,15,60,15,0,4.882353,6.809524,7,8.727273,11.1579,13.825,17.52632,17.64103,17.62,19.21154,21.44444,22.01563,24.10294,27.0137,29.47945,33.34211,34.95946,33.59722,33.52778,30.5679,33.27161,34.80952,35.2766,38.39,42.35514,41.81818,46.24348,50.02459,49.75969,52.49635,53.77857,58.70139,57.92517,62.01333,67.56,67.09151,67.49689,70.31765,73.5731,73.57458,77.02718,81.85406,84.85406,87.04945,90.01621,92.87166,94.6599,98.01492,100.4806,104.5708,111.5577,112.6794,114.1751,118.1858,124.8894,123.1339,118.9879,122.0201,123.6563,127.3808,126.6429,130.5075,133.1491,135.365,139.6471,139.281,144.9191,148.1007,144.4441,147.3806,149.8653,148.2848,154.3279,156.1136,159.3084,163.1595,169.9198,170.6115,174.6988,176.039,178.2982,183.7632,188.3059,189.5131,189.6618,193.4942,195.1292,199.3064,200.8692,198.1649,200.5172,201.8549,199.4873,202.3731,201.3496
traffic-lights,20,5,20,5,0,5,4.166667,8.428572,9.416667,14.08333,15.33333,13.5,18.23529,26.64706,31.95,25.20833,26.54545,24.70588,18.33333,15.61539,18.14286,16.55556,16.9375,22.25,26.44,29.64,30.45,23,30,14.36364,14.08333,17.42857,21.94444,24.86957,27.03226,28.09375,25.74074,31.72222,25.5,22.5,22.5,14.14286,15.15385,21.6,25.26316,25.5,21.23077,19.75,23.75,13.09091,10,15.77778,26.11765,31,36.30435,34.33333,23.22222,28.58333,20.25,11.125,9.25,17.5,20.05,25,28.8,30.86667,23.86364,30.44444,12.6875,19.06667,16.5,18.58824,22.08696,27.7037,31.21212,32.26471,24.84211,22.8,26.0625,23.45455,11,15.47059,24.9375,27.90476,30.57692,30.54167,32.875,21.90909,13,15.33333,14.375,19.6,24.55556,31.1,32.73077,32.75,28.76923,16.2,22.27273,20.11765
traffic-lights,40,10,40,10,0,4.4,4.928571,10.73333,12.75,13.64,16.18182,18.29412,22.55,26.11765,31.0339,35.04688,33.55384,33.70149,36.85507,31.83099,24.51724,26.58928,31.09434,35.29508,39.11111,43.35526,41.03896,38.73611,38.92537,31.76471,27.68254,33.0303,40.16901,44.9875,48.1413,49.65306,49.60215,50.35227,51.09524,47.08434,41.61039,46.85526,50.77108,54.19149,62.90526,65.55102,63.73118,63.13483,62.28889,54.81818,45.16883,49.5974,57.27273,64.14815,69.89535,71.40659,67.21739,63.42222,60.84444,51.63736,41.5647,45.76543,52.33333,56.03191,59.46667,63.7027,62.70755,62.77885,62.08411,57.19811,49.64706,54.12245,58.86408,63.94545,69.65812,70.86508,68.83064,69.93388,70.87719,67.46729,66.51515,68.80769,77.06604,76.11475,83.96,85.12977,79.22481,78.09091,78.5339,69.09167,70.40909,76.63717,81.775,84.19847,84.89041,86.61333,85.5,89.73649,89.23333,88.02837
traffic-lights,60,15,60,15,0,4.733333,8.428572,14.44828,19.06452,17.0625,15.07692,17.13333,21.26531,27.62,29.43939,32.46154,32.90123,33.08139,34.56842,33.71287,29.15152,31.58763,37.01923,40.4188,46.984,51.13139,52.3913,53.81429,56.67883,55.48965,52.39716,56.48276,63.21233,67.96795,74.04243,77.4386,76.39445,78.01117,76.91257,76.41398,75.80556,80.43243,83.86869,89.92271,92.61607,94.0415,92.648,95.33992,98.36111,100.1451,100.8606,106.1181,113.2087,118.0992,121.3986,125.4105,124.5575,127.569,126.398,127.7215,127.5265,131.9314,141.0918,145.6127,149.9572,151.2124,149.8513,148.0086,150.1314,150.0817,152.0798,160.5316,168.3486,172.4503,175.3422,177.9077,178.8923,181.1392,182.3895,186.302,185.6111,191.7218,199.1741,203.5558,208.5024,211.2979,212.6973,210.9318,208.657,208.7357,208.6674,215.614,224.7544,226.4736,231.1529,233.5232,232.57,234.8123,234.5878,236.7736
