intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,20,15,10,5,0,4.571429,5.777778,8.666667,4,6.888889,6,7.666667,10.7,15,7.666667,8.285714,10.16667,8,3.25,8,6.818182,9.5,6.714286,5.9,9.375,7,9.5,7.75,4.7,7,7,5.125,9.25,7,5.142857,7.833333,4,10.6,7.111111,9,9.142858,5.5,6.125,6.142857,5.272727,8.25,7.714286,10.42857,5,7.5,6.625,7.8,6,7.333333,6.428571,6,10.5,5.375,6,8,8.454545,8.615385,9.076923,9,10.1,10.46667,10.125,6,5,5.857143,5,8,5.3,8.1,10,5.333333,8.25,8,4.8,8.75,7.5,2,4.5,10.16667,5.25,6.5,5,6,7.111111,6.888889,6.625,10,5.625,8.555555,10.5,6.2,7,7.428571,6.111111,7.125
roundabout-quick-right,40,30,20,10,0,4.888889,8.666667,5.588235,7.954545,7.944445,10.45455,11.21053,12.13333,12.86667,8.125,6.5625,8.2,10.55556,9.75,8.210526,8.5625,9.65,9.619047,12.85714,11.46154,6.6875,8.5,9.235294,10.9,9.826087,11.86207,11.51724,16.75,16.79167,16.59091,17.04762,11.45833,11.27273,9.5,9.136364,8.833333,10.66667,8.846154,8.583333,7.533333,6.294117,7.368421,11.55,10.23529,8.5625,9.153846,8,8.052631,8.8,8.611111,7.444445,9.733334,6.9,8.56,11.95,14.42857,11.53846,12.21053,11.66667,9.933333,8.277778,10.2,8.4,12.26316,13.6,14.22222,11.55556,6.818182,6.384615,7.333333,10.41177,12.83333,7.4,6.733333,8.2,8.333333,7.142857,9.625,11.2,7.428571,8.523809,10.27273,10.26316,8.75,10.28,10.65,12.34783,10.88,11.29412,9.625,6.15,7.888889,8.294118,8.8,8.4
roundabout-quick-right,60,45,30,15,0,5.357143,7.5,6.526316,8.909091,8.782609,10.06897,11.02857,12.74359,14.8,19.8,21.05769,19.80357,20.03226,22.92857,24.40678,27.5303,27.8169,30.13889,35.27778,39.0137,39.21951,42.65116,44.75581,49.96591,52,57.32653,62.78125,65.87619,69.1,66.34782,72.10925,68.22689,68.61111,75.50819,77.85714,82.58462,85.57353,90.80576,94.72535,95.38255,100.7273,106.1656,108.7362,116.3171,116.6821,117.9885,123.2955,128.4432,128.3556,132.1271,133.8289,138.5729,146.7979,147.801,150.67,154.0048,159.1179,163.1116,168.0271,167.6538,175.5487,178.7051,179.7992,184.7155,186.336,189.2046,197.722,196.9359,198.6131,207.0255,212.2115,215.9644,220.1174,218.1,225.4413,230.3393,229.3737,235.6586,240.346,242.2027,251.0034,258.6164,265.2542,270.5473,269.6744,267.9172,270.1195,276.2461,285.0063,283.3889,282.7178,288.7156,288.1722,290.0597,291.5807
