intersection,run,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,11,50,50,50,50,0,5.5,8.666667,10.3125,10.48718,10.6,13.14286,18.04651,15.67273,16.35938,17.15278,18.32558,21.33333,23.85849,25.42342,28.04237,29.9322,31.71654,33.85714,36.0458,35.08108,36.38356,37.6,40.51299,41.89542,42.93827,42.38691,42.74576,45.27933,45.00537,43.42051,44.91626,47.21905,50.46544,52.14798,53.55111,57.03098,57.94372,60.17722,61.99605,62.748,66.38956,69.82813,71.97719,75.36502,77.51865,79.3221,80.77143,82.53952,83.23746,84.11149,86.89562,87.76159,88.29299,90.48064,91,91.7943,91.72531,92.29129,95.92442,97.03714,100.8955,103.6289,106.3204,109.7623,110.8118,113.2091,114.0682,117.2073,119.5228,121.8441,124.6125,127.9802,128.0647,131.3805,133.9681,134.2441,136.9691,136.7183,138.7506,141.6028,143.5818,144.7851,146.0089,146.9313,150.5332,151.3946,152.8392,152.9097,153.6124,153.8891,153.2802,152.9941,156.7218,159.5241,159.9695
roundabout-quick-right,12,54,54,54,54,0,4.4,6.75,8.815789,10.52273,12.23529,14.19643,14.87302,16.05405,18.40909,20.56436,23.22807,26.78151,29.2439,32.58461,34.21898,36.49324,37.83851,39.16565,39.53529,40.37989,41.17021,42.27041,44.19901,46.38164,49.78404,52.46789,54.17181,57.21008,59.80972,62.74713,64.20599,67.16236,68.83032,71.55161,72.47241,74.66333,75.9393,77.28797,78.33642,82.49547,84.70796,86.75358,88.51233,90.5873,91.6266,94.1403,96.655,98.06342,100.7345,102.8695,104.7973,109.5202,114.2545,115.1057,119.4543,122.1221,124.7116,127.9749,131.3865,135.748,137.4201,142.1754,144.9332,147.7213,150.0896,153.4465,156.1066,160.4554,161.5797,163.4702,166.6382,170.2558,172.8774,176.8693,179.7274,181.2805,182.9814,184.2165,186.5294,187.7729,189.8891,191.9826,194.8448,199.522,200.6161,201.0774,205.455,206.6296,208.5355,211.4517,213.2297,216.0484,218.3488,221.2776,222.3069
roundabout-quick-right,13,58,58,58,58,0,4.545455,6.5625,10.47222,12.25,12.76,13.25,16.55172,18.39063,20.5,20.23077,21.95,23.63889,25.54386,26.91057,30.06767,31.60584,32.70068,34.09032,38.12346,41.80473,43.69767,47.04023,47.54857,49.24742,50.17241,50.92488,51.53182,53.25877,55.27004,56.69076,58.09266,60.18116,61.81469,64.40067,65.61039,67.73734,68.98154,71.84132,75.82249,80.15205,84.08455,86.91502,91.18414,94.38611,96.51498,98.72629,100.2116,101.8109,104.6608,107.8235,109.4296,112.4466,114.9057,117.7052,120.3002,120.3002,121.1949,122.944,122.2834,124.9759,126.9137,128.6012,132.2467,133.985,137.314,140.1397,141.6018,144.9626,149.03,152.2456,155.9759,157.397,161.0901,163.6404,167.9495,170.2122,172.6872,173.9275,175.9253,177.8064,180.4826,183.8711,186.6021,189.1875,193.4504,196.4908,199.4496,202.7038,204.7627,206.2439,207.0833,208.8011,209.9521,210.6751,215.073
roundabout,1,10,10,10,10,0,4.2,12.33333,4.333333,8.833333,5.333333,10.6,1,9,0,6.666667,8,4,5.5,6.166667,5.875,8.4,8.25,10.625,3.8,6,6,8.625,5.125,7.666667,4.25,8.5,4,5.75,6.636364,9.444445,8.714286,8.25,7.8,7.333333,8.6,6.5,7.166667,7,3.666667,6,6.25,7,7.5,6,8.25,6.4,11.4,7.4,4.6,5.833333,5,6.555555,9.333333,9.875,7.909091,10.42857,9,7,6.571429,12.6,2.666667,4.571429,7.636364,8.888889,7.8,9.25,6,5.5,9.5,7.25,7,2,5.25,10.28571,7.142857,2.666667,6,10.875,8.285714,8.8,3.666667,5.75,4.5,4.333333,9.25,7.4,7.857143,7.4,9.333333,7,5.333333,6.333333,11,6.142857,4.75
roundabout,2,14,14,14,14,0,3.666667,8.125,8.4,7.166667,5.4,7.214286,9.769231,8.1,8.230769,10,8.428572,10.5,5.2,9.857142,7.818182,7,9.454545,7.5,6.363636,10.07692,11.75,10.6,6.666667,8.714286,8.428572,5.222222,4.8,5.636364,7.538462,10,7.9,8,7.125,7.466667,7.818182,7.5,8.5,8.333333,9,6.888889,9,12,6.8,7,6.4,11.5,5.666667,9.25,9.166667,6,8.416667,12.55556,8.555555,6.1,9.615385,12.08333,7.9,7.642857,9.777778,10.4,8.866667,10,7.75,5.142857,6.142857,6.166667,7.266667,7.928571,8,9.8,8.636364,11.28571,6.25,8.6,10.33333,6.333333,5.545455,10.08333,9.153846,12.76923,8.333333,7.285714,10.16667,10.36364,8,7.923077,9.363636,7.333333,6.0625,7.466667,10.38889,11.25,8.571428,13.625,6.4
roundabout,3,18,18,18,18,0,3.777778,6.4,5.6,5.933333,8.833333,7.3,9.75,5.875,6.111111,8.625,8.555555,6,7.888889,7.615385,6.642857,10.72727,7.8,8.769231,10.25,9.666667,7.636364,8.363636,9,5.875,6.384615,9.583333,9.25,8.642858,7.25,5,8.181818,10.23077,9.6,5.733333,8.105263,8.8,7.7,8.909091,5.454545,8.7,8.111111,7.5,9.9,5.111111,8.727273,8.545455,6.6,5.933333,10.73333,10.6,7.2,6.916667,8.235294,8.5,7.545455,10,9.363636,7.6,8.5,5.666667,5.375,5.538462,8,10.3125,12,8.875,7.142857,7.428571,9,11.66667,7.555555,7.7,6.1,5.8,9.1875,8.75,11,9.071428,11.1,8.181818,8.363636,11.54545,8.333333,5.333333,8.375,7.888889,7.888889,5.875,8.375,13.33333,7.111111,9.5,5.5,6.714286,5.166667
roundabout,4,22,22,22,22,0,4.875,7.909091,8.25,6.833333,7.705883,9.842105,9.421053,10.27778,10.13333,10.94118,8.142858,9.368421,11.35714,8.9375,8.133333,9.2,9.611111,13.5,8.153846,7.277778,10.0625,7.769231,6.833333,9.307693,9.571428,9.5,7.476191,10.6,11.9375,9.764706,8.1875,11.43478,11.77273,12.93333,8.4,10.35,10.42105,8.411765,10.61111,11.47368,11.66667,10,9.666667,6.95,9.388889,9,7.583333,6.625,9.9375,11.3,6.588235,7.611111,11.36364,5.333333,6.466667,8.923077,9.235294,10.4375,7.823529,8.8,9.384615,7.066667,7.5,7.133333,9.470589,8.785714,9,6.611111,8.157895,9.4375,7.818182,7.222222,7.333333,8.636364,6.916667,7.733333,8.533334,12.61539,10.06667,6.266667,7.6,10.81818,6.727273,7.071429,8.470589,9.533334,9.642858,9.909091,6.3,5.666667,7.533333,9.5,12.6875,10.27778,9.052631
roundabout,5,26,26,26,26,0,5.266667,7.571429,9.73913,12.22727,16,14.2,12.41177,9.95,9.3,12.28571,11.13043,10.45455,11.47059,9.526316,9.48,10.61539,13.38461,14.24138,15.97143,16.19444,16.2973,16.46154,18.20588,19.31429,19.22857,20.37931,19.42308,13.96429,16.33333,15.60606,15.34615,13.25,11.6,13.44444,10.33333,7.882353,9.136364,12,7.526316,9,10.41177,8.315789,9.2,9.227273,10.11539,11.30769,11.96296,11.16667,13.875,16.22222,14.45833,15.4,16.5,10.21053,8.88,11,9,8.333333,10.1,10.81818,9.473684,11.66667,8,9,11.35,8.608696,11.09091,11.76471,11.53333,10.7,11.84615,9.678572,13,14.92308,16.125,16.81818,14.35294,13.11765,10.13043,12.61905,12.375,8.26087,10.09091,13.76923,11.3125,9.555555,8.2,7.75,8.818182,9.103448,11.17857,14.77778,13.25,11,14.96154
roundabout,6,30,30,30,30,0,3.846154,7.1,9.125,13.04,11.93333,13.4,11.26923,12.91304,15.75,11.4,13.60714,10.80645,13.13333,15.10345,12.36667,11.15152,12.62069,13.66667,13.14286,13.95833,14.36364,10.81481,11.68,11.33333,13.28571,15.82759,17.62069,14.8125,14.82759,16.13793,16.06452,15.46429,14.53571,13.96875,13.80556,13.79487,15.89744,17.97872,19.38636,19.84,19.28572,19.43396,22.75439,24.43333,25.60606,24.89063,25.86765,27.12,28.02597,30.21687,30.89773,34.09412,34.86747,35.38824,35.43023,37.22989,43.32143,44.85185,48.03896,46.24324,45.77941,42.61333,42.01351,39.17284,39.78947,36.80769,34.94805,33.575,33.5125,36.06329,37.825,39.48684,37.07895,39.48649,38.22368,34.80263,37.75641,38.88,39,39.30952,39.62353,38.84706,39.61905,37.97778,36.23595,35.68889,36.45454,40.17857,41.56977,40.1358,37.63855,37.7125,38.73171,39.63855,38.77381
roundabout,7,34,34,34,34,0,4.5,6.368421,7.857143,9.884615,11.875,14.44444,5.833333,7.6,8.807693,10.51613,14.19444,15.12121,15.44118,15.29412,13,14.43182,15.41509,19.37255,23.25,23.4717,23.7963,21.90741,23.2549,21.61403,24.44068,23.25758,24.86364,27.15,27.84127,28.70313,30.92958,33.42857,34.58621,33.84848,35.74603,36.12903,37.88525,31.87931,34.2963,28.62712,29.79032,30.79104,29.78125,30.59702,31.48611,30.33333,33.19277,35.37349,35.74713,36.83333,37.19149,38.65306,43.18947,39.05435,42.8022,42.93548,44.7653,46.91398,47.17172,48.7766,55.95506,55.77174,50.92632,52.15625,54.01031,55.7451,56.15464,56.68868,57.92453,50.5283,49.65714,47.70797,49.00885,53.08772,51.85585,53.97321,55.89286,54.64545,56.08257,57.25,60.23,59.16038,55.57143,54.57143,53.14545,50.2807,48.7438,48.6281,50.4918,47.86466,45.92366,47.39855,48.56338,50.7027,51.73288
