intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
adaptivelights,20,20,20,47,0,6.4,9.4,10.8125,17.11111,18.48148,21.20513,28.93023,32.50943,37.57377,34.18644,36.01613,41.98438,43.54386,46.98113,48.42857,53.75362,58.43421,55.18421,51.37838,56.04286,59.17647,52.21212,47.5,50.74603,52.40541,50.08451,49.4,51.62903,51.80645,42.56667,47.37097,52.04348,58.01351,56.13044,56.48438,59.83051,59.64615,50.20313,42.13462,45.29824,50.5873,41.75385,40.7,47.37931,48.15686,41.28571,42.30769,46.06667,50.08823,47.92424,48.48333,59.46154,44.55319,46.54546,48.56923,54.54286,59.76316,57.15493,55.67123,60.65714,71.14925,67.87324,63.29578,58.39706,51.32353,45.4375,48.35385,50.84615,53.32308,45.82759,47.86666,52.35821,57.57534,47.80263,42.6875,47.38182,52.47059,49.62222,50.5,56.65517,59.07576,45.70968,41.73684,44.2449,47.39216,39.42,45.38,49,51.59091,43.06557,40.80702,43.88235,43.5283,39.86956,41.62963
adaptivelights,20,20,20,49,0,5.857143,8.923077,12.28571,13.46154,16.24242,19.93023,26.56,31.66102,37.60606,38.74603,41.16667,44.64815,50.20755,49.89362,52.76923,54.47541,56.07042,42.44616,39.52459,44.55932,52.76271,46.12727,46.32,48.96552,50.98529,42.2029,42.25,51.5,51.51613,39.48214,41.76923,46.22034,48.44928,45.18571,43.65152,50.10938,43.28788,39.59091,44.43662,50.50649,54.2069,50.66667,49.66265,51.38158,58.39189,56.72059,58.49123,57.46269,59.27273,55.68421,54.55882,54.9,60.09589,57.94805,55.31579,55.25352,50.15278,45.29231,45.4918,49.72581,48.07353,45.77778,46.26229,48.95774,52.7125,48.37838,46.20313,49.32787,55.87097,47.47458,48.58929,50.30303,53.74667,47.23529,44.05797,50.86364,52.58823,42.70588,46.03279,50.64706,54.01299,51.7013,48.93507,50.8961,58.52,54.78947,49.90789,49.78082,54.75,49.05556,47.51429,51.22222,50.46269,47.97297,46.97183
adaptivelights,20,20,20,8,0,5.1,9.307693,12.05263,15.82609,19.54839,23.55,28.95745,32.68421,35.65714,35.53846,38.28788,45.76271,47.43548,42.67241,47.45283,50.34426,50.51351,47.21539,46.40678,51.17857,49.18644,48.26415,46.46552,49.59702,52.51948,50.69333,46.51471,48.21539,43.62903,41.7541,46.43077,51.51389,58.63158,58.90789,54.25352,59.75758,63.62903,53.83582,52.15942,55.05063,57.03297,56.01111,52.50588,56.9125,64.28205,54.2439,47.35211,49.59722,54.77215,50.23611,48.15278,50.86956,57.51563,55.6129,61.03226,65.22059,66.94805,59.74648,52.35,52.66071,59.09804,43.41861,43.02041,43.52459,48.5,46.10145,46.28814,48.45901,49,42.39344,48.51724,54.20635,58.22857,53.63492,45.76667,47.08621,50.90741,44.52941,48.81818,47.91304,55.06849,48.59702,46.01639,50.37288,46.94118,47.4375,52.49057,53.34921,58.28986,54.36923,47.46479,49.4,53.35,46.12658,40.23188
adaptivelights,35,20,20,12,0,4.153846,6.894737,9.074074,15.07407,17.63636,23.44737,29.56818,33,38.4918,38.08621,40.83019,38.62963,41.26923,42.875,44.38235,49.74667,53.2,46.34444,43.64773,50.14103,51.36486,49.27536,52.75714,59.63514,61.02353,56.31707,58.38667,61.7013,61.6747,56.36585,61.49383,62.86021,69.2347,72.68,71.88043,72.71764,77.77647,64.44444,55.25,58.29762,61.53191,61.68539,60.16279,67.55696,71.84415,72.78082,75.8,75.94505,82.30526,73.05682,66.77778,72.25714,71.47059,54.12308,53.11765,56.32468,59.34483,58.09412,57.08235,66.18182,67.4625,66.64103,66.13253,73.63953,74.90722,68.63541,68.71591,71.92308,71.87013,57.56,56.30882,58.46154,62.43023,55.73864,55.80488,61.90667,70.05479,62.27397,63.63636,64.23595,66.61,63.08,63.27778,65.94253,68.63219,59.0122,52.63014,54.35294,57.40625,56.47525,56.06061,60.15054,67.37363,60.82954,64.51163
adaptivelights,35,20,20,17,0,6,8.307693,11.1579,16.8,22.2,24.08,25.2,28.77273,34.78,28.6383,30.16667,33.72549,39,42.96923,46.05263,50.61176,55.30851,54.62922,54.03659,56.29487,59.39189,52.68116,51.78378,54.54118,58.2,57.02174,54.40909,56.61364,66.70588,58.76136,63.47675,66.38541,68.25926,66.93578,62.06731,65.79382,70.29348,69.39175,66.39175,58.55445,59.30556,57.26126,58.72381,64.30693,72.37255,76.74258,79.92,83.91489,80.32,77.33,71.33334,65.33721,69.11628,62.94186,54.04,54.80247,59.52809,54.52222,58.1978,59.38462,60.60204,61.07143,67.86021,72.07921,78.3868,71.84615,72.08,73.94681,74.93877,63,60.20225,63.61616,66.77273,65.66038,63.14019,64.52293,68.93694,66.82143,67.22222,72.45715,76.77876,72.63889,67.77228,68.62626,69.90527,68.17978,70.04301,71.99039,76.41964,73.84071,67.32478,66.68421,71.11818,66.30357,69.05882
adaptivelights,35,20,20,30,0,5.461538,9.818182,12.6875,13.71429,17.83871,22.05405,25.89362,29.86207,36.6875,37.1875,37.23881,41.49275,44.50725,42.78788,50.59678,54.95652,55.20732,49.23171,46.08861,44.08642,49.81707,47.24675,42.34722,47.375,53.82558,55.01234,55.85714,61.9589,62.63889,59.08333,62.62025,66.4023,69.67709,66.43182,64.26582,62.89412,71.68674,67.39507,60.75758,61.37879,59.7125,62.325,63.41558,66.57143,65.89247,62,65.83334,70.30488,74.24719,69.66666,72.71795,79.30137,81.47143,67.08108,52.2,53.03614,56.55914,57.25,56.63441,63.1,70.85394,68.17647,73.07143,76.95605,78.70297,70.9798,69.0625,67.62222,74.50588,61.61798,47.84524,53.13334,56.81188,57.32692,58.46078,62.93069,71.31683,65.33945,69.02,74.74509,81.75471,77.17647,70.46392,69.64211,73.07865,64.36781,61.40506,67.78049,69.18279,66.1413,66.8587,69.87357,74.25,74.19512,72.13793
adaptivelights,35,20,20,35,0,3.833333,7.875,11.86364,16.26923,20.83333,23.3,28.5625,31.13115,36.08451,35.41791,37.53846,41.86765,44.77941,48.93846,53.82609,56.22785,59.2809,54.61446,51.80488,49.37975,53.56165,44.31944,46.34246,50.03614,55.81111,52.48352,53.46591,58.89655,60.75,61.08333,62.4125,64.60674,72.32609,73.1573,71.06024,72.55128,70.4557,57.30556,58.9403,60.51948,60.94444,59.5977,58.25275,63.24176,69.49462,68.33334,66.38614,66.9899,73.09091,73.02128,73.33735,76.17105,67.04166,57.51429,53.7375,60.27059,63.43158,62.7957,64.93478,68.51579,70.15054,69.51685,70.98795,74.81609,79.58064,74.03615,63.53947,65.25373,59.16949,53.54386,52.53731,53.78481,56.44444,50.92308,51.71111,59.81176,65.33334,65.71085,67.10465,69.52084,75.06863,69.28866,71.32184,75.02597,77.25,65.08823,57.07692,55.35,56.83871,54.06452,54.4086,59.96667,64.15556,66,71.25883
adaptivelights,35,20,20,36,0,5.588235,10.65,13.11111,16.8,22.8,28.80488,32.52,38.92727,40.51471,37.93846,40.32143,39.75439,44.5,48.56897,52.01515,51.18518,52.76667,49.92391,50.05814,54.25333,47.90141,46.78082,48.84884,53.98936,59.25,58.28846,54.75926,59.81731,65.78846,64.51041,73.03448,75.58334,78.88235,82.20618,85.98889,89.51765,99.87013,83.23189,69.59677,71.82609,73.86667,71.15942,73.02898,71.74324,71.50704,76.79412,72.7561,75,76.33,70.65556,74.13253,82.66666,77.14085,59.75,59.59702,58.9375,59.88172,58.32184,58.41573,68.4881,62.13334,62.96511,66.07368,71.08823,72.0614,69.20536,67.13725,69.86021,75.47675,59.67857,60.09877,63.04396,65.74,62.28571,63.68687,69.48936,77.3871,71.31765,75.27907,77.55789,83.32653,80.01087,82.35802,84.9863,80.15069,59.61765,56.45588,59.44156,63.85,60.03659,62.05882,63.43023,69.67857,66.81177,70.5
adaptivelights,35,20,20,37,0,5.3,7.571429,10.05556,13.64,16.63333,19.67568,27.19512,31.38,37.41071,36.81482,39.2069,38.70176,41.62295,45.63768,49.17722,52.98877,56.07921,51.10753,51.68817,53.17708,55.06186,51.59783,51.64045,54.81188,60.29358,59.87037,59.09009,63.40952,69.75247,65.82178,62.27451,71.04951,77.99048,78.75728,79.35165,81.37209,81.42683,71.35,66.29487,65.34782,67.63107,63.7449,63.37895,68.44444,71.01087,67.67416,70.35555,72.09901,73.20175,75.50443,73.61905,72.48454,83.34831,72.50617,70.4026,71.03409,71.28713,66.61682,66.78846,66.85577,65.96491,69.08547,73.0354,72.93805,76.72072,75.62745,73.16495,75.57143,75.32184,67.03704,66.87209,68.61855,72.3868,68.74509,64.5534,68.34344,70.74039,69.78899,67.57273,68.36111,73.2,74.5812,69.41747,73.66666,79.37374,72.73959,68.55056,71,74.97,66.98969,63.7449,64.70408,65.19388,64.8421,67.96842
adaptivelights,35,20,20,39,0,6.111111,7.117647,11.75,16.62963,22.83333,27.23529,32.15,35.79167,38.06779,35.31667,36.04478,41.04412,43.24615,39.0303,43.57143,45.02353,49.26042,45.58763,42.30107,43.57143,47.7931,47.42857,45.85882,52.47253,56.67327,53.89,55.61,60.38,66.47959,67.92632,67.81915,69.05825,73.66666,75.83636,69.625,68.27084,71.06383,61.76289,54.57609,58.96907,62.52778,61.98148,62.45283,66.36275,72.16346,66.40952,69.5534,76.13207,80.99115,78.95536,76.83495,74.58763,78.70454,71.18604,62,65.65476,70.04395,66.90909,67.57647,70.78571,74.74419,74.09876,84.67567,87.95,89.44318,71.25301,58.3253,62.18919,56.15714,46.65672,49.15789,55.36585,60.64045,57.21348,60.27907,63.3647,67.26667,64.56977,62.62353,68.10227,74.15054,69.29546,64.80247,60.98718,61.65333,58.54167,58.16438,60.44578,65.24445,63.85556,64.09782,68.08989,68.35955,63.91765,63.98851
