intersection,run,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,11,30,30,30,30,0,4.4,6.4,7.045455,11,10.57895,9.476191,8,9.923077,9.55,11.22222,14.18182,5.357143,6.947369,8.782609,11.40741,11.875,13,12.42308,10.68182,8.421053,9.12,10.61905,9.08,12.20833,12.76,10.36842,10.81818,8.608696,10.45833,10.68182,10,6.705883,6.842105,10.13043,10.04348,11.89474,8.294118,10.3125,9.421053,9.125,7.55,8.65,7.666667,10.13043,9.636364,10.0625,7.608696,10.72727,11,7.095238,10,8.652174,10.73913,10.79167,12.44,12.51852,11.96429,12.33333,10.15,9.269231,10.48,11,10.8,10.5,15.33333,11.08696,9.333333,10.35,10.56522,8.608696,10.04545,11.71429,12.47059,7.85,8.947369,10.30769,8.071428,8.071428,7.133333,8.105263,8.25,8.782609,10.77419,13.51852,13.5,13.85185,13.26667,12.30435,12.34783,9.407408,9.925926,10.16667,10.26667,12.47222,14.22581
roundabout-quick-right,12,32,32,32,32,0,5.5,5.882353,7.928571,9.615385,13.57895,15.03125,16.52,16.45833,8.263158,9.588235,9,10.38889,11.55,8.875,11.15385,8.685715,10.93333,11.22857,12.46875,14.75,11.92593,12.48,15,13.37037,12.39286,10.12903,11.84615,10.91667,10.72414,9.5,12.5641,12.57895,17.27778,14.14706,16.80952,16.33333,21,18.125,12.31034,11.0303,13.04,13.58333,15.2963,13.66667,12.44,10.88461,10.54545,10.7037,12.34615,10.12,12.25,11.53333,12.24138,14.52174,11.26316,9.416667,7.117647,8.363636,10.08696,11.5,11.25806,13.92,9.863636,9.882353,8.666667,9.538462,9.181818,11.68,13.18182,8.5,13.56,11.55556,11.2,12.65714,14.97059,15.13889,12.59375,13.775,13.46667,11.75,13.26471,13.33333,14.22222,15.67647,11.84,10.55556,10.95238,8.909091,10.1,7.6,8.411765,8.470589,11.58823,8.666667,4.92
roundabout-quick-right,13,34,34,34,34,0,4.375,7.105263,8.210526,9.647058,11.15,9.434783,13.34783,10.91177,11.83333,13.29412,15.77778,12.96429,10.13333,10.78788,11.07692,10.88,9.64,11.5,10,11.56,9.066667,9.961538,11.16129,15,17.71428,16.88,17.95238,13.21053,7.709677,9.939394,11.09375,12.68,11.29167,10.95238,8.555555,8.952381,9.294118,9.142858,7.333333,9.388889,6.157895,7.727273,8.84375,12.44444,11.74074,10.85185,12.13513,15.05,16.5102,19.74,20.625,22.70588,19.71698,21.6383,21.79245,20.98039,20.78261,18.33333,21.72549,20.29825,19.50794,18.84058,23.87302,25.28814,27.98039,30.2037,28.30909,29.69811,31.1875,33.23256,27.2549,24.18518,21.55769,25.41509,28.69231,30.10204,30.94118,29.46154,26.77586,32.23333,32.8,30.4918,30.37288,28.94828,32.24528,28.44643,27.55172,26.82143,24.05357,25.2963,25.90769,26.06061,27.86364,30.77465,28.44615
roundabout-quick-right,14,36,36,36,36,0,4.722222,7.285714,9.032258,11.53125,12.74286,15.02439,12.79545,15.48718,15.32353,15.65625,14.1875,15,14.69231,11.82143,10.32143,10.6,13.4,13.91667,13.5625,13.02381,14.04651,15.09524,19.25641,17.375,19.13043,20.17021,18.97917,18.52273,18.07018,18.2037,21.25455,23.72549,27.82051,24.23077,15.05556,16.12195,13.71795,12.18182,14.61539,14.19512,14.17778,18.26531,19.43103,21.10526,21.375,19.8,22.98387,23.24561,23.74545,25.87273,23.01563,26.21667,25.7541,23.08475,24.12281,23.58491,26.59184,28.7551,30.89583,31.77083,34.48077,31.56897,33.25,28.92727,29.25,30.76271,32.50877,32.7193,28.74242,29.22727,28.98485,29.25862,27.07018,29.26154,29.55738,34.14286,32.34328,34.78571,36.08955,36.43835,35.57971,36.13636,35.82813,34,35.32813,38.1017,40.875,43.33898,40.4127,40.92982,34.41379,28.7931,28.7931,29.63333,32.44262
roundabout-quick-right,15,38,38,38,38,0,5,8.190476,8.083333,9.580646,10.88571,13.44444,13.61111,13.42857,13.61702,16.95349,17.88095,17.64583,18.10526,18.74468,19.52273,18.87234,21.2093,18.72549,17.76471,17.44898,16.27273,15.28302,17.83019,20.50943,20,20.42553,17.80769,21.62264,20.98113,20.75,19.43396,18.05556,19.78,21.71428,20.84783,22.0625,22.26087,18.49091,21.44262,20.79104,21.63636,22.26667,24.27273,24.98667,26.70833,27.875,29.52703,30,31.76623,27.31429,26.90667,30.97143,30.34667,28.62963,27.76923,31.72727,30.67949,29.35,29.49296,31.41429,30.76923,29.21875,28.06557,28.91936,29.28358,28.95161,28.25424,27.31746,24.56522,28.56061,29.98462,30.01471,29.58462,30.67606,31.19118,34.77465,34.42857,35.59702,36.82433,37.21333,35.59494,36.62069,36.53261,36.19355,39.08139,40.14286,42.70588,44.02273,44.875,37.11111,38.78652,37.77419,39.89773,43.42529,39.12644
roundabout-quick-right,16,40,40,40,40,0,4.611111,7.555555,9.034483,10.35484,11.64865,13,12.73333,14.40541,14.21053,15.36585,15.42222,16.60377,15.83019,18.90566,17.64912,17.62745,22.56,21.59184,19.09091,18.66072,19.47368,19.88889,23,22,21.41791,20.68254,19.13636,21.87671,25.71428,26.14474,27.24359,27.01333,24.60526,24.3,25.32051,26.01205,28.43373,29.23171,29.09639,30.84337,30.10714,30.15556,32.09195,32.40909,33.28724,31.52041,35.65957,34.85556,33.21978,33.1413,31.56989,32.01099,30.75532,32.17778,32.72917,33.73563,34.31818,30.83333,31.04348,31.90217,31.80435,31.84783,33.13402,32.60825,31.96907,32.94175,32.71028,33.85217,37.05128,38.92727,38.3945,39.18584,40.19328,40.83846,42.48872,43.89682,43.8374,44.17742,41.54815,41.83916,44.28767,46.42361,46.85714,48.91772,49.95625,52.84375,54.87117,55.48171,58.64417,58.02469,59.57576,61.33735,60.13953,62.33526,62.47191
roundabout-quick-right,17,42,42,42,42,0,5.571429,8.230769,10.71875,11.18421,14.2439,17.09375,16.38235,16.77778,13.17778,14.55769,17.78947,16.79104,17.77612,18.09091,19.40476,21.70732,25.88461,26.90667,26.51191,28.88095,28.7931,29.43182,29.84884,29.30435,27.32609,28.61798,30.82558,32.97701,33.12346,31.18824,31.71739,32.90425,31.04348,29.26596,27.85263,29.92,29.34906,30.4,31.95536,34.21186,35.76336,37.57813,37.14063,37.57252,38.47794,40.73944,43.23809,43.72297,45.77632,47.94667,49.45223,51.94156,54.32927,53.92398,54.14045,54.76923,55.18182,55.22727,55.81592,57.26699,60.18095,61.27404,64.89109,67.42647,70.14423,73.75124,72.8867,75.59113,74.47783,74.7233,75.55556,77.14778,75.53695,72.87324,75.96347,78.30769,81.45872,80.6484,83.69546,84.94977,86.03555,86.18519,86.37611,88.27232,88.07758,85.44856,87.7438,89.66534,90.048,91.75203,90.56225,89.59608,90.251,92.48207,93.6494
roundabout-quick-right,18,44,44,44,44,0,4.238095,7.636364,8.058824,11.42857,14.0625,16.31482,14.51563,17.29231,19.14925,21.0137,21.96202,19.42857,21.76829,23.14286,24.62353,26.22353,26.77907,26.9596,27.71698,30.40171,32.69565,31.57895,33.05,33.91228,36.41071,38.44545,36.58715,38.49557,38.98276,38.88334,38.98361,37.7907,40.28677,40.02143,41.23448,42.72186,42.8366,45.38607,48.01307,49.10778,52.15385,52.97024,53.7069,55.76667,56.96648,58.67978,61.36702,63.38379,64.71809,66.64171,69.14594,71.77778,69.17801,70.28061,71.35533,71.93846,72.10363,74.85204,76.0153,77.41293,76.20388,75.2891,77.46729,82.09633,82.09778,84.51316,87.38261,87.85654,89.96234,89.09016,91.26,92.67969,94.84528,94.65169,98.46768,95.23684,97.42007,102.3606,104.7828,104.6087,104.3486,107.0804,109.2355,113.007,112.1563,111.6055,112.2111,115.5203,115.4441,116.5936,117.5864,116.7751,115.9141,119.2669,121.2132
roundabout-quick-right,19,46,46,46,46,0,4.470588,7.8,8.470589,11.63636,13.6,14.90741,16.81132,16.88679,17.96721,19.19403,20.92308,21.19231,22.84615,23.51087,25.67369,27.12632,29.12745,29.41121,31.51351,32.31356,34.21849,35.62295,36.43221,36.34884,36.05185,37.66667,39.58955,41.1958,39.92567,42.5411,42.18367,45.80921,47.71515,48.06587,48.31977,48.67956,50.6087,51.37433,54.92391,58.24445,60.07027,61.98964,63.50251,62.86935,64.28643,65.34975,67.86829,69.40292,70.02487,68.70874,71.03809,73.78241,76.41204,76.35714,78.04348,80.95727,80.99585,84.18443,85.28915,82.36905,82.75984,84.37066,85.1845,88.59707,88.91135,88.48763,89.87329,89.75343,91.93243,94.26174,97.61935,101.0383,102.7057,105.8549,106.028,105.2827,108.0649,109.9855,110.9046,110.5821,111.5681,113.8309,118.1268,119.2944,122.8204,123.0496,126.9945,130.7944,131.014,132.9494,135.486,137.3861,136.2123,138.8978,140.6851
roundabout-quick-right,20,48,48,48,48,0,5.24,8.645162,9.393939,11.75,12.66,14.625,16.17188,17.25373,17.93506,19.92941,23.49438,24.88889,27.7931,26.88172,29.41667,28.625,27.90816,28.82105,29.22,28.13461,28.84348,31.09917,32.37984,32.70992,33.41353,33.88028,35.78767,38.12667,40.42208,42.94839,43.34211,43.83125,45.45732,45.15528,46.53571,46.75,49.79213,51.60714,49.82659,51.08571,51.60674,51.27778,54.10735,55.55978,57.93513,59.25263,59.37186,60.78283,62.06372,63.01951,62.03828,61.15094,63.58139,65.67281,66.41122,68.75349,69.46667,69.39834,72.59504,73.27531,74.19592,74.73518,73.12878,76.57359,75.92308,78.4,78.14085,81.32168,84.74062,88.91837,89.39803,92.35197,95.84193,98.9434,101.0251,100.8589,103.7882,103.3952,107.1721,108.7362,112.1734,115.1966,115.1813,116.351,119.811,121.4043,123.7394,122.6053,123.5825,124.4623,124.0196,126.5639,130.1063,132.4526,134.5083
